date,maxDailyTidal
4/9/2019,2.48
4/10/2019,2.53
4/11/2019,2.56
4/12/2019,2.53
4/13/2019,2.53
4/14/2019,2.52
4/15/2019,2.49
4/16/2019,2.37
4/17/2019,2.2
4/18/2019,2.24
4/19/2019,2.56
4/20/2019,2.77
4/21/2019,2.85
4/22/2019,2.89
4/23/2019,2.82
4/24/2019,2.67
4/25/2019,2.5
4/26/2019,2.3
4/27/2019,2.11
4/28/2019,1.95
4/29/2019,1.8
4/30/2019,1.65
5/1/2019,1.59
5/2/2019,1.85
5/3/2019,2.12
5/4/2019,2.39
5/5/2019,2.63
5/6/2019,2.91
5/7/2019,3.1
5/8/2019,3.16
5/9/2019,3.13
5/10/2019,3.01
5/11/2019,2.83
5/12/2019,2.62
5/13/2019,2.38
5/14/2019,2.12
5/15/2019,2.07
5/16/2019,2.46
5/17/2019,2.78
5/18/2019,3
5/19/2019,3.16
5/20/2019,3.28
5/21/2019,3.26
5/22/2019,3.13
5/23/2019,2.92
5/24/2019,2.66
5/25/2019,2.38
5/26/2019,2.15
5/27/2019,1.86
5/28/2019,1.6
5/29/2019,1.7
5/30/2019,1.99
5/31/2019,2.29
6/1/2019,2.6
6/2/2019,2.89
6/3/2019,3.2
6/4/2019,3.47
6/5/2019,3.58
6/6/2019,3.57
6/7/2019,3.44
6/8/2019,3.2
6/9/2019,2.88
6/10/2019,2.51
6/11/2019,2.11
6/12/2019,2.2
6/13/2019,2.55
6/14/2019,2.85
6/15/2019,3.04
6/16/2019,3.18
6/17/2019,3.35
6/18/2019,3.37
6/19/2019,3.3
6/20/2019,3.14
6/21/2019,2.92
6/22/2019,2.67
6/23/2019,2.39
6/24/2019,2.06
6/25/2019,1.74
6/26/2019,1.68
6/27/2019,1.96
6/28/2019,2.27
6/29/2019,2.58
6/30/2019,2.9
7/1/2019,3.18
7/2/2019,3.49
7/3/2019,3.67
7/4/2019,3.72
7/5/2019,3.62
7/6/2019,3.4
7/7/2019,3.06
7/8/2019,2.63
7/9/2019,2.14
7/10/2019,2.16
7/11/2019,2.49
7/12/2019,2.72
7/13/2019,2.87
7/14/2019,2.98
7/15/2019,3.14
7/16/2019,3.19
7/17/2019,3.15
7/18/2019,3.04
7/19/2019,2.9
7/20/2019,2.7
7/21/2019,2.47
7/22/2019,2.18
7/23/2019,1.84
7/24/2019,1.56
7/25/2019,1.8
7/26/2019,2.06
7/27/2019,2.34
7/28/2019,2.64
7/29/2019,2.93
7/30/2019,3.22
7/31/2019,3.44
8/1/2019,3.54
8/2/2019,3.5
8/3/2019,3.31
8/4/2019,2.99
8/5/2019,2.58
8/6/2019,2.08
8/7/2019,2.12
8/8/2019,2.28
8/9/2019,2.38
8/10/2019,2.52
8/11/2019,2.66
8/12/2019,2.79
8/13/2019,2.82
8/14/2019,2.79
8/15/2019,2.71
8/16/2019,2.6
8/17/2019,2.46
8/18/2019,2.27
8/19/2019,2.03
8/20/2019,1.72
8/21/2019,1.61
8/22/2019,1.74
8/23/2019,1.9
8/24/2019,2.07
8/25/2019,2.28
8/26/2019,2.52
8/27/2019,2.83
8/28/2019,3.04
8/29/2019,3.14
8/30/2019,3.13
8/31/2019,2.98
