"","date","Time.trap.pulled","Site","Sampler.s..names","Did.the.trap.fish.properly..Y.N.","Timer.start","Timer.end","X..Nights.Fished","Hours.Fished","Weather..S.PC.O.R.","Photo.taken..Y.N.","Notes","...13","Samples.processing","Subsample.","Metacarcinus.magistermegalopae","Metacarcinus.magisterinstar","...18","Cancer.productus","Metacarcinus.gracilis","Glebocarcinus.oregonensis","Lophopanopeus.bellus","Oregonia.gracilis","Hemigrapsus.sp.","Pugettia.sp.","Pinnixa.sp.","Fabia.sp.","...28","Surf.Smelt","Sand.Lance","Salmon","Gunnel","Sculpin","Flatfish","Pipefish","Amphipod","Isopod..Kelp","Isopod..Pill.Bug","Octopus","Polychaete","Shrimp","...42","Temperature..degrees.C.","Salinity..ppt.","Organization","totalCMagister","TotalDungenessCPUE","DungMegalopeCPUE","DungInstarCPUE"
"1",2019-04-24,"09:20:00","ZIT","Margaret Homerding,Katie Holmes, Jamie Kilgo","y","20:00:00","06:00:00","2",20,"PC","Y","FIRST PULL!",NA,"FRESH","N",0,0,NA,0,0,0,0,0,0,0,0,0,NA,NA,"P",NA,NA,"P","P","P","P",NA,"P","P","P","P",NA,NA,NA,"Nisqually",0,0,0,0
"2",2019-04-26,"09:45:00","ZIT","Margaret homerding","y","20:00:00","06:00:00","2",20,"S","y",NA,NA,"FRESH","N",0,0,NA,0,0,0,0,0,0,9,0,0,NA,NA,"p","p","p","p","p",NA,NA,NA,NA,"p","p","p",NA,NA,NA,"Nisqually",0,0,0,0
"3",2019-04-29,"09:20:00","ZIT","Margaret Homerding,Katie Holmes, Jamie Kilgo","n","20:00:00","06:00:00",NA,NA,"S","y",NA,NA,"frozen","N",0,0,NA,0,0,0,0,0,0,1,0,0,NA,NA,"p",NA,"p","p","p",NA,NA,NA,NA,"p","p","p",NA,NA,NA,"Nisqually",0,NA,NA,NA
"4",2019-05-01,"08:40:00","ZIT","Jamie Kilgo","y","20:30:00","06:00:00","2",19,"S","y",NA,NA,"FRESH","N",0,0,NA,0,0,0,0,0,0,1,0,0,NA,NA,"p",NA,NA,NA,"p",NA,"p",NA,NA,"p","p","p",NA,NA,NA,"Nisqually",0,0,0,0
"5",2019-05-03,"10:30:00","ZIT","Margaret Homerding","y","20:30:00","06:00:00","2",19,"S","y",NA,NA,"frozen","N",0,0,NA,0,0,0,0,0,0,0,0,0,NA,"p",NA,NA,"p","p","p",NA,NA,NA,"p","p","p","p",NA,NA,NA,"Nisqually",0,0,0,0
"6",2019-05-06,"09:00:00","ZIT","katie Houle","n","20:30:00","06:00:00",NA,NA,"S","y",NA,NA,"frozen","N",0,0,NA,0,0,0,0,0,0,0,0,0,NA,NA,"p",NA,NA,NA,"p","p","p",NA,"p","p","p","p",NA,NA,NA,"Nisqually",0,NA,NA,NA
"7",2019-05-08,"09:30:00","ZIT","Caleb D (WDFW)","y","20:30:00","06:00:00","2",19,"cloudy","y",NA,NA,"FRESH","N",0,0,NA,0,0,0,0,0,0,0,0,0,NA,"p","p",NA,NA,"p",NA,NA,NA,NA,"p","p","p","p",NA,NA,NA,"Nisqually",0,0,0,0
"8",2019-05-10,"11:30:00","ZIT","Margaret Homerding","y","20:30:00","06:00:00","1",9.5,"sunny","y",NA,NA,"frozen","N",0,0,NA,0,9,0,0,0,0,0,0,0,NA,"p",NA,NA,NA,NA,"p","p","p",NA,"p","p","p","p",NA,NA,NA,"Nisqually",0,0,0,0
"9",2019-05-13,"09:20:00","ZIT","katie Houle","n","20:30:00","05:30:00",NA,NA,"overcast","y",NA,NA,"FRESH","N",0,0,NA,0,5,0,1,0,0,0,0,0,NA,NA,"P",NA,NA,"P","P","P","P",NA,"P","P","P","P",NA,NA,NA,"Nisqually",0,NA,NA,NA
"10",2019-05-15,"10:05:00","ZIT","Jamie Kilgo","Y","20:30:00","05:30:00","2",18,"overcast","Y",NA,NA,"FRESH","N",0,0,NA,0,13,0,0,0,0,0,0,0,NA,NA,"P",NA,NA,"P","P",NA,"P",NA,"P","P","P","P",NA,NA,NA,"Nisqually",0,0,0,0
"11",2019-05-17,"15:30:00","ZIT","Margaret Homerding,Katie Houle Jamie Kilgo","Y","20:30:00","05:30:00","2",18,"overcast","Y","BRACKISH WATER MEGALOPAE CANNOT FIND ON KEY AGAIN",NA,"fROZEN","N",0,0,NA,0,0,0,0,0,0,0,3,0,NA,NA,"P",NA,NA,NA,NA,NA,"P",NA,"P","P","P","P",NA,NA,NA,"Nisqually",0,0,0,0
"12",2019-05-20,"12:00:00","ZIT","katie Houle","Y","20:30:00","05:30:00","3",27,"overcast","Y","LIGHT ON??",NA,"FROZEN","N",0,0,NA,0,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"P",NA,NA,NA,"P","P",NA,NA,NA,"Nisqually",0,0,0,0
"13",2019-05-22,"08:20:00","ZIT","Jamie Kilgo","y","20:30:00","05:30:00","2",18,"overcast","y",NA,NA,"FRESH","N",0,0,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"p",NA,NA,NA,"p","p",NA,NA,NA,"Nisqually",0,0,0,0
